StaffID,StaffTypeID,PrimaryFacilityID,StaffFirstName,StaffLastName,StaffName,StaffADUsername,GradeLevel
131,1,5,Dominik,Dubicki,Dominik Dubicki,DDubicki,
132,1,5,Bernard,Duerr,Bernard Duerr,BDuerr,
133,1,5,Marina,Dukhon,Marina Dukhon,MDukhon,
134,1,5,Adrian,Dumitrascu,Adrian Dumitrascu,ADumitrascu,
135,1,5,Bart,Duncan,Bart Duncan,BDuncan,
136,1,5,Andrea,Dunker,Andrea Dunker,ADunker,
137,1,5,Daniel,Durrer,Daniel Durrer,DDurrer,
138,1,5,Shelley,Dyck,Shelley Dyck,SDyck,
139,1,5,Maria,Dykstra,Maria Dykstra,MDykstra,
140,1,5,Witold,Dyszkiewicz,Witold Dyszkiewicz,WDyszkiewicz,
141,1,5,Andreas ,Dziegiel,Andreas  Dziegiel,ADziegiel,
142,1,5,Krittiya,Eamsiri,Krittiya Eamsiri,KEamsiri,
143,1,5,Terry,Earls,Terry Earls,TEarls,
144,1,5,Mads,Ebdrup,Mads Ebdrup,MEbdrup,
145,1,5,Josh,Edwards,Josh Edwards,JEdwards,
146,1,5,Alexander,Eggerer,Alexander Eggerer,AEggerer,
147,1,5,Vladimir,Egorov,Vladimir Egorov,VEgorov,
